Designação;Evento;Data Recebimento;Data Execução;Banda;Número OS;Ocorrência;Observação
AMBL000003;pend. cliente;25/02/2015;11/03/2015;0;;;"11/03/2015 - Comercial elaborando nova VTA para atendimento via Arena Manaus.
25/02/2015 - Ativação não executada. Aguardando novo projeto de abordagem de F.O. do cliente. Cliente não executou o link no POP Prodam e sim na Arena Manaus."
AMBL000003;pend. comercial;07/08/2014;11/09/2014;0;;;07/08/2014 - OS e VTA devolvidas para retificação.
AMBL000003;em ativação;04/05/2015;12/05/2015;0;;;"12/05/2015 - Cliente ativado.
04/05/2015 - Realizado handover para ativação."
AMBL000003;ativado;12/05/2015;12/05/2015;100;01238/2014/DC/4600;6649;12/05/2015 - Cliente ativado.
AMBL000003;pend. implantação;11/03/2015;13/03/2015;0;;;"13/03/2015 - Liberado fusões para o cliente
11/03/2015 - Encaminhada OS e VTA retificadas para Engenharia."
AMBL000003;upgrade;15/05/2015;15/05/2015;300;01694/2015/DC/4600;8414;15/05/2015 - Ampliação de banda para 300 Mbps.
AMBL000003;trânsito;28/08/2015;15/09/2015;300;01854/2015/DC/4600;10854;"15/09/2015 - Liberação do Transito.
28/08/2015 - Inclusão de Transito (ANS a ser liberado: AS: 264470 - Bloco: 131.255.80/22"
AMBL000003;mudança de endereço;10/07/2015;17/07/2015;300;01780/2015/DC/4600;9774;"17/07/2015 - Alterado o endereço.
10/07/2015 - Encaminhada OS e VTA para Engenharia - Mudança de endereço"
AMBL000003;pend. implantação;11/09/2014;18/08/2014;0;;;11/09/2014 - Aguardando backbone de Manaus - OPGW com problemas.
AMBL000003;pend. implantação;24/09/2014;23/02/2015;0;;;"06/01/2015 - Aguardando  entrega do POP Prodam pela Eng. de Transporte
24/09/2014 - Aguardando projeto PRODAM"
AMBL000003;pend. cliente;13/03/2015;24/03/2015;0;;;"24/03/2015 - Fusões concluídas pelo cliente
13/03/2015 - Aguardando cliente realizar fusões de F.O."
AMBL000003;pend. comercial;18/08/2014;24/09/2014;0;;;18/08/2014 - Aguardando PROA.
AMBL000003;em ativação;23/02/2015;25/02/2015;0;;;23/02/2015 - Handover para operação . Ativação agendada para 25/02/2015.
AMBL000003;mudança de configuração;21/05/2015;26/08/2015;300;01684/2015/DC/4600;8535;"26/08/2015 - Ativado o BGP
04/08/2015 - Aguardando cliente realizar fusões de FO.
28/07/2015 - Aguardando cliente realizar fusões e enviar relatório de teste de OTDR. 
21/07/2015 - Aguardando cliente realizar fusões e enviar relatório de teste de OTDR. 
17/07/2015 - Aguardando cliente realizar fusão de FO e enviar teste de OTDR.
01/07/2015 - Cliente solicitou que a alteração da rota estática para BGP seja realizada junto com a alteração do endereço, da Arena Amazonia para PRODAM
21/05/2015 - Solicitação de Mudança de Rota Estática para BGP"
AMBL000003;desbloqueado;26/08/2015;26/08/2015;300;01684/2015/DC/4600;8535;26/08/2015 - Cliente desbloqueado na ativação rota BGP - OS 01684/2015/DC/4600. (Cliente irá desativar o circuito AMBL000003 quando for ativado o circuito de transporte AMP2000002)
AMBL000003;bloqueado;27/06/2016;27/06/2016;0;0557/2016/DC/4600;20289;27/06/2016 - Pedido de bloqueio do cliente.
AML2000008;pend. comercial;15/03/2016;00/00/0000;0;;;"31/05/2016 - Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper. Em reagendamento de fusões e jumpers na ponta de Manaus.
24/05/2016 - Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper. Em reagendamento de fusões e jumpers na ponta de Manaus.
11/05/2016 - Cliente não compareceu na OC agendada para 02/05 na ponta de Manaus, em agendamento de nova data. Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper.
03/05/2016 - Cliente não compareceu na OC agendada para 02/05 na ponta de Manaus, em agendamento de nova data. Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper.
26/04/2016 - Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper.
19/04/2016 - Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper.
12/04/2016 - Devolvida para o Comercial a OS e VTA para adequação. O produto P2P PTT ainda não é vendido no PTT DF. Comercial agendou uma reunião para 22/03.
05/04/2016 - Devolvida para o Comercial a OS e VTA para adequação. O produto P2P PTT ainda não é vendido no PTT DF. Comercial agendou uma reunião para 22/03.
21/03/2016 - Devolvida para o Comercial a OS e VTA para adequação. O produto P2P PTT ainda não é vendido no PTT DF. Comercial agendou uma reunião para 22/03.
15/03/2016 - Devolvidas OS e VTA para Comercial para revisão. O PTT DF ainda não atende o produto P2P PTT."
AML2000008;pend. cliente;06/09/2016;00/00/0000;0;2053/2015/DC/4600;;"20/09/2016 - Aguardando conclusão de ajustes do lançamento da fibra do cliente.
13/09/2016 - Fusão e jumpers realizados no PoP Brasília Geral. Aguardando conclusão de ajustes da fibra do cliente.
06/09/2016 - Recebido nova OS e VTA. Aguardando lançamento de fibra do cliente, previsto para 09/09."
AML2000008;mudança de configuração;01/06/2016;01/06/2016;0;2053/2015/DC/4600;13604;"01/06/2016 - Recebido a correção de designação 
De: AML2000002 
Para: AMP2000002"
